Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
89,CJ Abrams*,23,WSN,NL,3.4,138,602,541,79,133,29,6,20,65,31,12,40,128,.246,.314,.433,.747,110,.324,108,234,4,16,1,4,3,*6/H,AS,abramcj01
134,Luis García Jr.*,24,WSN,NL,2.2,140,528,500,58,141,25,1,18,70,22,5,27,86,.282,.318,.444,.762,115,.336,114,222,12,0,0,1,2,*4H/D,,garcilu04
136,Lane Thomas,28,WSN,NL,0.5,77,341,300,42,76,16,3,8,40,28,12,32,72,.253,.331,.407,.738,109,.334,115,122,4,5,0,4,0,9/8D,,thomala02
141,Jacob Young,24,WSN,NL,2.8,150,521,468,75,120,24,1,3,36,33,10,30,102,.256,.316,.331,.648,86,.299,87,155,11,12,9,2,0,*8/HD,,youngja03
151,Jesse Winker*,30,WSN,NL,1.9,101,379,315,51,81,18,0,11,45,14,4,53,84,.257,.374,.419,.793,126,.358,131,132,9,7,2,2,2,7D/H9,,winkeje01
167,Keibert Ruiz#,25,WSN,NL,0.6,127,485,459,46,105,21,0,13,57,3,1,16,54,.229,.260,.359,.619,74,.270,70,165,13,5,0,5,0,*2D/H,,ruizke01
300,James Wood*,21,WSN,NL,1.1,79,336,295,43,78,13,4,9,41,14,8,39,97,.264,.354,.427,.781,122,.343,124,126,1,2,0,0,1,7,,woodja03
316,Eddie Rosario*,32,WSN,NL,-1.2,67,235,219,26,40,11,0,7,26,8,1,13,54,.183,.226,.329,.555,56,.254,54,72,4,0,1,2,0,97D8/H,,rosared01
325,Joey Meneses,32,WSN,NL,-0.5,76,313,281,19,65,11,0,3,42,2,0,21,63,.231,.291,.302,.593,70,.280,76,85,9,5,0,6,1,3D/H,,menesjo01
