Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
43,Matt Chapman,31,SFG,NL,7.1,154,647,575,98,142,39,2,27,78,15,2,64,158,.247,.328,.463,.790,125,.351,129,266,13,6,0,2,3,*5/H,MVP-11GG,chapmma01
104,Jorge Soler,32,SFG,NL,1.1,93,392,341,57,82,23,1,12,40,1,0,44,97,.240,.330,.419,.749,115,.334,119,143,9,3,0,3,0,D/H,,solerjo01
142,Heliot Ramos,24,SFG,NL,2.3,121,518,475,54,128,23,3,22,72,6,1,37,135,.269,.322,.469,.792,125,.349,129,223,12,2,0,4,2,*87/9DH,AS,ramoshe02
164,Michael Conforto*,31,SFG,NL,1.3,130,488,438,56,104,27,3,20,66,0,1,42,118,.237,.309,.450,.759,116,.326,115,197,16,5,0,3,1,7DH,,confomi01
179,Mike Yastrzemski*,33,SFG,NL,2.1,140,474,428,60,99,16,9,18,57,3,2,38,124,.231,.302,.437,.739,110,.317,108,187,5,6,1,1,1,*9H/81,,yastrmi01
191,Mark Canha,35,SFG,NL,0.0,32,85,73,4,21,3,0,0,4,3,0,9,17,.288,.376,.329,.705,107,.326,108,24,1,2,0,1,0,3H/97D5,,canhama01
241,LaMonte Wade Jr.*,30,SFG,NL,2.1,117,401,331,45,86,16,0,8,34,2,1,62,90,.260,.380,.381,.761,121,.337,122,126,2,4,1,3,5,3H9/D7,,wadela01
259,Thairo Estrada,28,SFG,NL,-0.5,96,381,364,43,79,15,2,9,47,2,2,10,76,.217,.247,.343,.590,68,.263,69,125,8,5,0,2,0,4/DH,,estrath01
294,Tyler Fitzgerald,26,SFG,NL,2.8,96,341,314,53,88,19,2,15,34,17,4,22,108,.280,.334,.497,.831,136,.367,140,156,2,4,0,1,0,6H/8471D3,,fitzgty01
