Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
50,Isaac Paredes,25,CHC,NL,0.4,52,212,179,23,40,6,0,3,25,1,0,24,37,.223,.325,.307,.633,82,.294,86,55,4,5,0,4,0,5/H,,paredis01
110,Michael Busch*,26,CHC,NL,2.8,152,567,496,73,123,28,2,21,65,2,1,63,162,.248,.335,.440,.775,118,.338,118,218,9,4,0,4,1,*3H/4D5,,buschmi02
99,Seiya Suzuki,29,CHC,NL,3.5,132,585,512,74,145,27,6,21,73,16,6,63,160,.283,.366,.482,.848,138,.364,136,247,6,6,0,4,3,9D/7H,,suzukse01
32,Ian Happ#,29,CHC,NL,3.9,153,657,569,89,138,34,2,25,86,13,2,80,168,.243,.341,.441,.782,120,.345,121,251,7,6,0,2,1,*7/DH,GG,happia01
81,Christopher Morel,25,CHC,NL,0.2,103,421,362,43,72,7,1,18,51,7,5,47,103,.199,.302,.373,.675,90,.300,92,135,11,8,0,4,2,5D/H,,morelch01
97,Dansby Swanson,30,CHC,NL,4.0,149,593,534,82,129,27,2,16,66,19,3,54,144,.242,.312,.390,.701,98,.313,96,208,7,2,0,3,2,*6/H,,swansda01
99,Seiya Suzuki,29,CHC,NL,3.5,132,585,512,74,145,27,6,21,73,16,6,63,160,.283,.366,.482,.848,138,.364,136,247,6,6,0,4,3,9D/7H,,suzukse01
109,Cody Bellinger*,28,CHC,NL,2.2,130,569,516,72,137,23,3,18,78,9,2,45,89,.266,.325,.426,.751,111,.326,108,220,10,3,0,5,7,98D3/7,,bellico01
237,Pete Crow-Armstrong*,22,CHC,NL,2.3,123,410,372,46,88,13,6,10,47,27,3,21,98,.237,.286,.384,.670,88,.300,82,143,4,6,8,3,2,*8H,,crowape01
