Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
100,Riley Greene*,23,DET,AL,5.4,137,584,512,82,134,27,6,24,74,4,2,64,156,.262,.348,.479,.827,133,.358,133,245,2,5,0,2,3,7D8/9H,AS,greenri03
111,Matt Vierling,27,DET,AL,3.0,144,567,518,80,133,28,5,16,57,6,1,41,121,.257,.312,.423,.735,107,.323,106,219,9,3,0,5,1,859H7/D3,,vierlma01
115,Colt Keith*,22,DET,AL,1.1,148,556,516,54,134,15,4,13,61,7,1,36,110,.260,.309,.380,.689,96,.308,95,196,4,2,0,2,2,*4DH,,keithco01
190,Mark Canha,35,DET,AL,0.6,93,377,320,42,74,17,0,7,38,4,0,42,79,.231,.337,.350,.687,97,.320,103,112,9,11,0,4,2,3D79/H,,canhama01
193,Gio Urshela,32,DET,AL,-0.3,92,325,300,25,73,10,1,5,37,0,0,19,49,.243,.286,.333,.619,76,.284,79,100,12,1,0,5,1,53/HD,,urshegi01
227,Wenceel Pérez#,24,DET,AL,0.7,112,425,389,51,94,16,6,9,37,9,5,32,92,.242,.300,.383,.683,93,.302,93,149,5,1,2,1,0,98H/7D,,perezwe01
261,Spencer Torkelson,24,DET,AL,0.3,92,381,342,45,75,21,1,10,37,0,0,33,105,.219,.295,.374,.669,89,.293,86,128,6,4,0,1,0,3/D,,torkesp01
297,Jake Rogers,29,DET,AL,1.0,102,337,310,43,61,16,1,10,36,1,0,22,99,.197,.255,.352,.607,71,.270,69,109,6,3,0,2,1,2/DH,,rogerja03
310,Zach McKinstry*,29,DET,AL,0.8,118,325,297,32,64,14,5,4,23,16,0,24,69,.215,.277,.337,.614,74,.288,74,100,3,2,0,2,0,65H479/1D,,mckinza01
