Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
228,Luis Robert Jr.,26,CHW,AL,1.4,100,425,393,47,88,19,0,14,35,23,6,28,141,.224,.278,.379,.657,87,.298,88,149,8,2,0,1,2,8/DH,,roberlu01
174,Tommy Pham,36,CHW,AL,0.0,70,297,271,33,72,14,1,5,19,6,3,25,63,.266,.330,.380,.710,104,.327,112,103,2,1,0,0,0,987/HD,,phamth01
76,Andrew Vaughn,26,CHW,AL,0.2,149,619,570,55,140,30,1,19,70,2,0,38,132,.246,.297,.402,.699,99,.305,96,229,13,6,0,5,0,*3D/H,,vaughan01
154,Gavin Sheets*,28,CHW,AL,-1.0,139,501,451,35,105,24,1,10,45,2,2,43,106,.233,.303,.357,.660,90,.292,88,161,6,4,0,3,2,93DH,,sheetga01
281,Eloy Jiménez,27,CHW,AL,-0.5,65,249,229,18,55,9,0,5,16,3,0,18,47,.240,.297,.345,.642,84,.284,80,79,11,1,0,1,1,D/H9,,jimenel02
213,Nicky Lopez*,29,CHW,AL,0.2,124,445,398,40,96,12,3,1,21,5,7,37,67,.241,.312,.294,.606,76,.282,83,117,3,4,6,0,0,46/H,,lopezni01
548,Brooks Baldwin#,23,CHW,AL,0.0,33,121,114,9,24,6,0,2,8,4,0,6,31,.211,.250,.316,.566,62,.263,60,36,1,0,1,0,0,4/6,,baldwbr01
377,Nick Senzel,29,CHW,AL,-0.7,10,32,30,0,3,1,0,0,0,0,0,1,8,.100,.129,.133,.262,-24,.120,-41,4,0,0,1,0,0,/5D9H,,senzeni01
246,Korey Lee,25,CHW,AL,0.1,125,394,377,36,79,14,1,12,37,6,3,17,122,.210,.244,.347,.591,68,.264,68,131,12,0,0,0,0,*2H/D,,leeko01
