Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
16,Willy Adames,28,MIL,NL,3.1,161,688,610,93,153,33,0,32,112,21,4,74,173,.251,.331,.462,.794,118,.348,117,282,12,1,0,3,3,*6,MVP-10,adamewi01
22,William Contreras,26,MIL,NL,4.9,155,679,595,99,167,37,2,23,92,9,2,78,139,.281,.365,.466,.831,129,.361,129,277,19,3,0,3,5,*2D/H,ASMVP-5SS,contrwi02
75,Brice Turang*,24,MIL,NL,4.7,155,619,559,72,142,24,4,7,57,50,6,50,105,.254,.316,.349,.665,85,.313,85,195,8,2,5,3,1,*4H/D,GG,turanbr02
106,Jackson Chourio,20,MIL,NL,3.8,148,573,528,80,145,29,4,21,79,22,7,39,121,.275,.327,.464,.791,117,.344,115,245,7,3,1,2,4,*79/HD,MVP-22ROY-3,chourja01
138,Sal Frelick*,24,MIL,NL,2.1,145,524,475,66,123,22,4,2,32,18,3,39,78,.259,.320,.335,.655,83,.303,84,159,8,4,2,1,0,*987H/5D,GG,frelisa01
143,Rhys Hoskins,31,MIL,NL,-0.2,131,517,449,59,96,14,0,26,82,3,0,53,149,.214,.303,.419,.722,98,.314,95,188,11,7,0,6,1,3D/H,,hoskirh01
149,Joey Ortiz,25,MIL,NL,2.7,142,511,440,58,105,25,6,11,60,11,6,56,103,.239,.329,.398,.726,101,.317,98,175,10,6,3,6,0,*56/H4,,ortizjo06
221,Blake Perkins#,27,MIL,NL,1.8,121,434,383,54,92,13,2,6,43,23,5,42,108,.240,.316,.332,.647,81,.301,81,127,3,3,0,6,1,*8H/D,,perkibl01
283,Jake Bauers*,28,MIL,NL,-0.4,116,346,302,45,60,9,2,12,43,13,1,39,118,.199,.301,.361,.662,83,.300,80,109,0,5,0,0,1,3HD9/71,,bauerja01
