Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
41,Randy Arozarena,29,TBR,AL,0.7,100,409,350,45,74,19,0,15,37,16,7,45,101,.211,.318,.394,.712,104,.316,104,138,3,11,0,3,0,7/8HD,,arozara01
49,Isaac Paredes,25,TBR,AL,2.4,101,429,363,41,89,19,1,16,55,0,1,52,68,.245,.357,.435,.792,127,.349,129,158,13,12,0,2,2,53D/H,,paredis01
69,Yandy Díaz,32,TBR,AL,1.6,145,621,563,55,158,31,1,14,65,0,0,50,95,.281,.341,.414,.755,116,.336,119,233,12,4,0,4,0,*3D/H,,diazya01
82,Christopher Morel,25,TBR,AL,-0.8,49,190,173,13,33,4,2,3,9,1,2,14,56,.191,.258,.289,.547,57,.241,53,50,4,2,0,1,1,4D7/H,,morelch01
168,José Caballero,27,TBR,AL,1.6,139,483,441,53,100,24,1,9,44,44,16,27,133,.227,.283,.347,.630,80,.292,83,153,6,9,3,3,1,654H/D,,cabaljo01
209,Jose Siri,28,TBR,AL,1.8,130,448,402,50,75,16,1,18,47,14,7,31,170,.187,.255,.366,.620,76,.272,73,147,5,7,2,4,0,*8/H3D,,sirijo01
226,Brandon Lowe*,29,TBR,AL,2.4,107,425,385,56,94,19,3,21,58,5,1,33,112,.244,.311,.473,.783,121,.339,120,182,7,5,0,2,2,4D3H,,lowebr01
255,Josh Lowe*,26,TBR,AL,0.7,106,387,353,37,85,19,2,10,34,25,1,32,123,.241,.302,.391,.693,98,.315,93,138,2,0,0,2,4,97/HD8,,lowejo01
270,Jonny DeLuca,25,TBR,AL,0.6,107,362,332,29,72,12,4,6,31,16,6,24,77,.217,.278,.331,.609,75,.279,76,110,1,4,2,0,1,98H7/D,,delucjo01
