Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
30,Taylor Ward,30,LAA,AL,2.3,156,663,585,73,144,26,2,25,75,6,4,63,163,.246,.323,.426,.748,111,.329,111,249,11,7,0,8,0,*7D,,wardta01
83,Nolan Schanuel*,22,LAA,AL,1.3,147,607,519,62,130,19,0,13,54,10,1,68,103,.250,.343,.362,.706,101,.321,103,188,14,9,3,7,0,*3/HD,,schanno01
91,Zach Neto,23,LAA,AL,5.1,155,602,542,70,135,34,1,23,77,30,10,39,140,.249,.318,.443,.761,113,.334,112,240,14,16,4,1,1,*6/H,,netoza01
140,Logan O'Hoppe,24,LAA,AL,2.7,136,522,479,64,117,17,1,20,56,2,3,33,155,.244,.303,.409,.712,100,.315,102,196,7,8,1,1,0,*2/HD,,ohopplo01
202,Jo Adell,25,LAA,AL,0.9,130,451,405,54,84,15,2,20,62,15,10,35,126,.207,.280,.402,.682,91,.297,90,163,9,7,0,3,1,*9H/D8,,adelljo01
233,Mickey Moniak*,26,LAA,AL,-0.1,124,418,392,48,86,17,2,14,49,8,4,21,114,.219,.266,.380,.646,81,.283,78,149,3,4,0,1,0,*89H/D7,,moniami01
271,Brandon Drury,31,LAA,AL,-2.0,97,360,325,28,55,7,0,4,15,1,0,27,81,.169,.242,.228,.469,35,.228,38,74,13,5,0,3,0,45D3/H,,drurybr01
324,Kevin Pillar,35,LAA,AL,0.3,83,282,259,37,61,14,1,7,41,10,3,12,61,.236,.291,.378,.669,88,.298,86,98,10,9,0,2,0,8H79/D,,pillake01
