Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
24,Luis Arráez*,27,MIA,NL,0.1,33,148,137,22,41,8,1,0,5,0,0,8,11,.299,.347,.372,.719,96,.326,99,51,5,2,1,0,0,4/3,,arraelu01
67,Bryan De La Cruz,27,MIA,NL,-0.2,105,454,424,44,104,19,0,18,51,3,1,25,118,.245,.289,.417,.707,90,.309,87,177,8,2,0,2,1,7D/9H,,delacbr01
72,Jazz Chisholm Jr.*,26,MIA,NL,1.2,101,430,386,46,96,14,4,13,50,22,8,39,107,.249,.323,.407,.730,97,.323,96,157,4,4,0,1,5,8/D4H,,chishja01
87,Josh Bell#,31,MIA,NL,-0.8,104,441,398,38,95,18,1,14,49,0,0,34,88,.239,.305,.394,.699,89,.310,88,157,13,5,0,3,1,3D,,belljo02
87,Josh Bell#,31,MIA,NL,-0.8,104,441,398,38,95,18,1,14,49,0,0,34,88,.239,.305,.394,.699,89,.310,88,157,13,5,0,3,1,3D,,belljo02
102,Jake Burger,28,MIA,NL,0.5,137,579,535,68,134,23,1,29,76,1,1,31,150,.250,.301,.460,.760,103,.327,100,246,11,9,0,4,2,35D/H,,burgeja01
127,Jesús Sánchez*,26,MIA,NL,0.7,149,537,489,60,123,25,1,18,64,16,2,41,140,.252,.313,.417,.731,97,.326,96,204,12,4,1,2,2,*9HD7,,sanchje02
220,Otto López,25,MIA,NL,2.6,117,434,403,49,109,23,1,6,39,20,4,25,75,.270,.313,.377,.690,87,.320,91,152,13,1,2,2,0,4/6H578,,lopezot01
301,Nick Fortes,27,MIA,NL,0.0,110,335,308,28,70,16,0,4,29,0,1,11,41,.227,.259,.318,.577,56,.249,44,98,6,4,7,5,0,*2/H,,forteni01
