Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
12,Bryan ReyNnolds#,29,PIT,NL,3.6,156,692,622,73,171,29,3,24,88,10,2,57,156,.275,.344,.447,.791,119,.355,125,278,7,10,0,3,3,*7D9,AS,reynobr01
68,Bryan De La Cruz,27,PIT,NL,-1.2,44,168,160,17,32,6,0,3,17,2,1,4,52,.200,.220,.294,.514,42,.238,42,47,2,1,0,3,0,9/7H,,delacbr01
93,Oneil Cruz*,25,PIT,NL,2.5,146,599,541,72,140,34,3,21,76,22,1,51,181,.259,.324,.449,.773,113,.340,110,243,8,3,0,4,5,*68H/D,,cruzon01
145,Andrew McCutchen,37,PIT,NL,0.8,120,515,448,66,104,18,1,20,50,3,2,58,133,.232,.328,.411,.739,105,.332,110,184,9,7,0,2,1,*D/9H,,mccutan01
159,Isiah Kiner-Falefa,29,PIT,NL,0.4,50,215,208,21,50,10,2,1,10,8,1,3,41,.240,.265,.322,.587,63,.270,60,67,3,4,0,0,0,64/5H,,kineris01
212,Jared Triolo,26,PIT,NL,1.3,125,446,394,41,85,10,1,9,46,8,1,42,118,.216,.296,.315,.611,71,.286,74,124,5,5,0,5,0,54/36H9,GG,triolja01
234,Connor Joe,31,PIT,NL,0.6,123,416,364,49,83,22,1,9,36,2,2,44,91,.228,.320,.368,.688,92,.306,92,134,7,6,0,2,1,39H/7D,,joeco01
245,Ke'Bryan Hayes,27,PIT,NL,0.8,96,396,365,38,85,9,0,4,25,11,2,23,75,.233,.283,.290,.573,61,.267,60,106,12,4,0,4,1,5/H,,hayeske01
254,Nick Gonzales,25,PIT,NL,0.9,94,387,359,42,97,19,3,7,49,5,3,18,74,.270,.311,.398,.709,96,.316,98,143,8,5,1,4,1,4/6H5,,gonzani01
