Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
42,Randy Arozarena,29,SEA,AL,1.0,54,239,199,32,46,14,0,5,23,4,3,28,68,.231,.356,.377,.733,118,.334,127,75,4,11,0,1,0,7/8D,,arozara01
64,Cal Raleigh#,27,SEA,AL,4.7,153,628,546,73,120,16,0,34,100,6,1,70,176,.220,.312,.436,.748,119,.324,117,238,7,6,0,6,4,*2D/H,MVP-12GG,raleica01
79,Julio Rodríguez,23,SEA,AL,4.3,143,613,567,76,155,17,0,20,68,24,5,38,156,.273,.325,.409,.734,116,.334,121,232,10,6,0,2,1,*8D/H,,rodriju01
126,Justin Turner,39,SEA,AL,1.2,48,190,159,22,42,7,0,5,24,0,0,20,35,.264,.363,.403,.766,128,.341,130,64,1,7,0,4,2,3D/H5,,turneju01
129,Ty France,29,SEA,AL,-0.2,88,340,300,28,67,14,0,8,31,0,1,28,83,.223,.312,.350,.662,97,.300,102,105,11,11,0,1,0,3/H4D,,francty01
184,Jorge Polanco#,30,SEA,AL,1.3,118,469,417,43,89,11,0,16,45,4,2,46,137,.213,.296,.355,.651,93,.294,96,148,16,4,0,2,3,*4/DH,,polanjo01
198,Luke Raley*,29,SEA,AL,3.2,137,455,404,58,98,19,2,22,58,11,2,27,135,.243,.320,.463,.783,129,.346,131,187,2,20,2,2,0,739H/8D,,raleylu01
204,J.P. Crawford*,29,SEA,AL,2.7,105,451,392,55,79,16,2,9,37,5,0,52,102,.202,.304,.321,.625,86,.286,89,126,4,6,0,1,0,6/HD,,crawfjp01
216,Dylan Moore,31,SEA,AL,2.2,135,441,368,53,74,23,4,10,42,32,6,53,123,.201,.320,.367,.687,104,.322,109,135,8,14,1,5,1,6547H3/8,GG,mooredy01
