Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
25,Luis Arráez*,27,SDP,NL,0.9,117,524,500,61,159,24,2,4,41,9,3,16,18,.318,.346,.398,.744,108,.327,106,199,13,6,1,1,3,3D/4H,,arraelu01
26,Jurickson Profar#,31,SDP,NL,3.6,158,668,564,94,158,29,0,24,85,10,3,76,101,.280,.380,.459,.839,134,.369,137,259,14,18,5,5,4,*7/D3,ASMVP-14SS,profaju01
33,Jake Cronenworth*,30,SDP,NL,1.9,155,656,577,72,139,29,3,17,83,5,2,61,118,.241,.324,.390,.714,99,.319,101,225,19,11,1,3,0,34/DH,,croneja01
45,Manny Machado,31,SDP,NL,3.1,152,643,593,77,163,30,0,29,105,11,2,45,124,.275,.325,.472,.797,120,.344,118,280,25,1,0,4,6,5D/H,MVP-16SS,machama01
96,Jackson Merrill*,21,SDP,NL,4.4,156,593,554,77,162,31,6,24,90,16,3,29,101,.292,.326,.500,.826,127,.357,126,277,2,1,4,5,1,*8/H,ASMVP-9ROY-2SS,merrija01
183,Ha-Seong Kim,28,SDP,NL,2.6,121,470,403,60,94,16,3,11,47,22,5,58,77,.233,.330,.370,.700,96,.318,96,149,8,2,4,3,4,*6/H,,kimha01
187,Xander Bogaerts,31,SDP,NL,1.2,111,463,428,50,113,15,1,11,44,13,3,28,79,.264,.307,.381,.688,92,.307,90,163,13,1,0,6,0,46/DH,,bogaexa01
217,Fernando Tatis Jr.,25,SDP,NL,2.6,102,438,398,64,110,21,1,21,49,11,3,32,96,.276,.340,.492,.833,130,.360,129,196,8,7,0,1,0,9/DH,AS,tatisfe02
278,Elias Díaz,33,SDP,NL,0.1,12,24,21,1,4,2,0,1,3,0,0,3,5,.190,.292,.429,.720,99,.349,123,9,2,0,0,0,0,2,,diazel01
