Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
13,Kyle Schwarber*,31,PHI,NL,3.5,150,692,573,110,142,22,0,38,104,5,3,106,197,.248,.366,.485,.851,137,.367,137,278,6,5,0,8,4,*D/7H,MVP-15,schwaky01
31,Nick Castellanos,32,PHI,NL,0.8,162,659,606,80,154,30,4,23,86,6,2,41,139,.254,.311,.431,.742,106,.327,108,261,14,10,0,2,2,*9/D,,casteni01
63,Bryce Harper*,31,PHI,NL,4.8,145,631,550,85,157,42,0,30,87,7,4,76,138,.285,.373,.525,.898,149,.381,148,289,18,2,1,2,11,*3/D,ASMVP-6SS,harpebr03
84,Alec Bohm,27,PHI,NL,3.0,143,606,554,62,155,44,2,15,97,5,2,40,86,.280,.332,.448,.779,117,.340,117,248,18,6,0,6,2,*53/DH,AS,bohmal01
108,Bryson Stott*,26,PHI,NL,2.5,148,571,506,65,124,19,2,11,57,32,3,53,93,.245,.315,.356,.671,89,.309,87,180,9,3,0,9,1,*46H/D,,stottbr01
108,Bryson Stott*,26,PHI,NL,2.5,148,571,506,65,124,19,2,11,57,32,3,53,93,.245,.315,.356,.671,89,.309,87,180,9,3,0,9,1,*46H/D,,stottbr01
123,Trea Turner,31,PHI,NL,3.0,121,539,505,88,149,25,0,21,62,19,4,27,98,.295,.338,.469,.807,124,.358,127,237,10,6,0,1,0,*6/D,AS,turnetr01
177,Brandon Marsh*,26,PHI,NL,3.1,135,476,418,55,104,17,3,16,60,19,3,50,154,.249,.328,.419,.747,109,.338,111,175,2,2,1,5,0,*78H/9,,marshbr02
236,J.T. Realmuto,33,PHI,NL,3.0,99,413,380,50,101,18,1,14,47,2,2,27,102,.266,.322,.429,.751,109,.331,112,163,7,5,0,1,1,2,,realmjt01
