Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
20,Jose Altuve,34,HOU,AL,3.4,153,682,628,94,185,31,0,20,65,22,7,47,119,.295,.350,.439,.790,126,.348,126,276,15,7,0,0,2,*4/DH,ASMVP-15SS,altuvjo01
39,Jeremy Peña,26,HOU,AL,4.1,157,650,602,78,160,28,2,15,70,20,6,25,111,.266,.308,.394,.701,100,.311,99,237,15,14,3,6,1,*6,,penaje02
57,Yordan Alvarez*,27,HOU,AL,5.4,147,635,552,88,170,34,2,35,86,6,0,69,95,.308,.392,.567,.959,172,.406,169,313,14,10,0,4,16,D7,ASMVP-9,alvaryo01
60,Alex Bregman,30,HOU,AL,4.1,145,634,581,79,151,30,2,26,75,3,1,44,86,.260,.315,.453,.768,118,.334,117,263,13,5,0,4,1,*5/D,GG,bregmal01
74,Yainer Diaz,25,HOU,AL,3.2,148,619,585,70,175,29,3,16,84,2,0,24,107,.299,.325,.441,.766,118,.339,120,258,22,2,0,8,1,2D3/H,,diazya02
147,Jake Meyers,28,HOU,AL,1.7,148,513,461,51,101,20,3,13,61,11,3,35,117,.219,.286,.360,.646,85,.288,83,166,17,10,3,4,0,*8H/7D,,meyerja02
224,Mauricio Dubón,29,HOU,AL,1.1,137,428,402,45,108,25,0,4,47,3,2,16,55,.269,.296,.361,.657,88,.289,85,145,6,2,3,5,0,7483H95/6,,dubonma01
239,Jon Singleton*,32,HOU,AL,0.3,119,405,355,46,83,13,1,13,42,0,0,47,111,.234,.321,.386,.707,103,.317,105,137,2,0,0,3,0,3HD,,singljo02
296,Kyle Tucker*,27,HOU,AL,4.7,78,339,277,56,80,13,0,23,49,11,0,56,54,.289,.408,.585,.993,181,.426,179,162,5,1,0,2,3,9/DH,AS,tuckeky01
