Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
35,Paul Goldschmidt,36,STL,NL,1.3,154,654,599,70,147,33,1,22,65,11,0,47,173,.245,.302,.414,.716,98,.326,104,248,20,2,0,2,2,*3/DH,,goldspa01
36,Brendan Donovan*,27,STL,NL,2.6,153,652,587,65,163,34,3,14,73,5,5,47,81,.278,.342,.417,.759,112,.332,112,245,4,13,0,5,0,74/5DH9,,donovbr01
56,Masyn Winn,22,STL,NL,4.9,150,637,587,85,157,32,5,15,57,11,5,41,109,.267,.314,.416,.730,102,.317,100,244,1,1,3,5,1,*6/HD,,winnma01
58,Nolan Arenado,33,STL,NL,2.5,152,635,578,70,157,23,0,16,71,2,2,44,92,.272,.325,.394,.719,101,.315,99,228,15,5,0,7,2,*5/DH,,arenano01
94,Alec Burleson*,25,STL,NL,1.2,152,595,547,71,147,20,0,21,78,9,4,35,76,.269,.314,.420,.735,104,.325,105,230,8,4,1,6,0,D97H3,,burleal01
175,Tommy Pham,36,STL,NL,-0.4,23,77,68,7,14,3,1,2,12,0,0,7,16,.206,.286,.368,.653,82,.285,77,25,2,1,0,1,0,7/9HD,,phamth01
238,Lars Nootbaar*,26,STL,NL,1.5,109,405,348,39,85,18,3,12,45,7,3,52,79,.244,.342,.417,.758,111,.334,112,145,10,1,1,3,2,978/H,,nootbla01
240,Nolan Gorman*,24,STL,NL,0.3,107,402,365,42,74,15,0,19,50,6,1,34,151,.203,.271,.400,.671,85,.291,79,146,2,1,0,2,1,4/H5,,gormano01
272,Willson Contreras,32,STL,NL,3.0,84,358,301,48,79,17,0,15,36,4,1,45,96,.262,.380,.468,.848,136,.370,137,141,7,12,0,0,2,2D/H,,contrwi01
