Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
59,Willi Castro#,27,MIN,AL,1.6,158,635,558,89,138,31,5,12,60,14,9,51,150,.247,.331,.385,.717,102,.326,108,215,8,21,1,4,0,64785/H1,AS,castrwi01
95,Carlos Santana#,38,MIN,AL,2.5,150,594,521,63,124,26,0,23,71,4,0,65,99,.238,.328,.420,.749,109,.329,108,219,11,6,0,2,3,*3/HD,GG,santaca01
186,Ryan Jeffers,27,MIN,AL,2.1,122,465,412,56,93,22,0,21,64,3,0,32,94,.226,.300,.432,.732,103,.322,103,178,9,14,1,6,0,2DH,,jeffery01
223,José Miranda,26,MIN,AL,1.7,121,429,401,44,114,28,4,9,49,2,2,18,66,.284,.322,.441,.763,112,.333,112,177,13,6,0,4,1,5DH3/6,,miranjo01
243,Trevor Larnach*,27,MIN,AL,1.3,112,400,355,59,92,17,0,15,52,4,1,40,89,.259,.338,.434,.771,116,.341,117,154,12,3,0,2,1,7D9H,,larnatr01
244,Max Kepler*,31,MIN,AL,1.0,105,399,368,43,93,21,1,8,42,1,0,22,80,.253,.302,.380,.682,91,.315,98,140,3,5,0,3,0,9H/D,,keplema01
252,Byron Buxton,30,MIN,AL,3.6,102,388,355,62,99,27,3,18,56,7,2,20,99,.279,.335,.524,.859,137,.369,136,186,3,11,0,2,1,8/HD,,buxtoby01
265,Freddy Fermin,29,KCR,AL,3.0,111,368,339,40,92,14,0,6,36,2,0,23,66,.271,.319,.366,.685,93,.307,92,124,10,2,1,3,1,2D/H,,fermifr01
266,Carlos Correa,29,MIN,AL,3.7,86,367,319,55,99,20,2,14,54,0,0,40,61,.310,.388,.517,.905,152,.393,155,165,5,3,0,4,4,6/DH,AS,correca01
