Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
121,Steven Kwan*,26,CLE,AL,4.0,122,540,480,83,140,16,3,14,44,12,5,53,51,.292,.368,.425,.793,126,.352,128,204,5,5,2,0,0,*7/DH,ASGG,kwanst01
497,Ángel Martínez#,22,CLE,AL,0.1,43,169,151,16,35,7,0,3,11,3,1,15,33,.232,.298,.338,.635,81,.286,80,51,2,0,1,2,0,87/9H5D4,,martian02
21,José Ramírez#,31,CLE,AL,6.8,158,682,620,114,173,39,2,39,118,41,7,54,82,.279,.335,.537,.872,143,.376,140,333,9,1,0,6,12,*5D,ASMVP-5SS,ramirjo01
62,Josh Naylor*,27,CLE,AL,1.5,152,633,563,84,137,27,0,31,108,6,2,58,105,.243,.320,.456,.776,118,.336,117,257,17,7,0,4,7,*3D/H,AS,naylojo01
460,Jhonkensy Noel,22,CLE,AL,1.0,67,198,179,25,39,7,1,13,28,0,0,13,63,.218,.288,.486,.774,115,.333,114,87,1,5,0,1,0,9H/3D7,,noeljh01
61,Andrés Giménez*,25,CLE,AL,4.0,152,633,583,64,147,22,1,9,63,30,5,26,97,.252,.298,.340,.638,82,.294,81,198,11,15,3,6,1,*4,GG,gimenan01
442,Daniel Schneemann*,27,CLE,AL,0.7,73,221,193,17,42,10,2,5,22,3,2,25,70,.218,.303,.368,.671,91,.297,90,71,1,0,0,3,0,6589H/47D,,schneda04
257,Tyler Freeman,25,CLE,AL,0.9,118,383,330,48,69,14,1,7,32,11,6,28,53,.209,.305,.321,.626,79,.288,83,106,15,19,3,3,1,8H6/54D,,freemty01
527,Austin Hedges,31,CLE,AL,-0.6,66,146,132,12,20,3,0,2,15,2,0,6,50,.152,.203,.220,.422,21,.199,14,29,2,3,3,2,0,2/1,,hedgeau01
